/atg/commerce/catalog/SecureProductCatalog:coverSku, ,TIMEFORMAT=M/d/yyyy h:mm a, ,LOCALE=en_US,
ID,acaBadge,additionalDetails,addedMaterialTypes,hasAdjustableHeadrest,hasAdjustableLumbar,altImages,archCoverAvlb,archwayID,atAGlanceContent,ar_enabled,auxiliaryMedia,bundleLinks,capCode,careFeatures,cleaningCode,collectionName,coverColor,colorDescription,colorNumber,commodityCode,colorFamilyImages,coverStatus,coverType,description,discountable,displayHeader,dynamicAttributes,endDate,faceContents,wtbFeatureImg1,wtbFeatureImg1Alt,wtbFeatureImg1Caption,wtbFeatureImg2,wtbFeatureImg2Alt,wtbFeatureImg2Caption,fractionalQuantitiesAllowed,fulfiller,grade,headerText,hasHeatMassage,hideAGlance,hideForCA,hideStillDeciding,hideForTextSearch,skuDocUrl,isPillowOptions,itemAcl,largeImage,wtbLeftImg,hasLiftFunction,linkDescription,listPrice,madeInUSABadge,manufacturer_part_number,mostPopular,isNew,nonreturnable,numberOfCushions,onSale,onlineExclusive,onlineExclusiveText,onlineOnly,patternName,pdpDefaultImage,perfectForInfo,performanceFabricFlag,cdpDefaultImage,cdpMouseOverImage,hasPower,productCategoryCode,prodCategoryDesc,belowFoldVideoMedia,isPurchaseable,quantity,fixedReplacementProducts,romanceCopy,salePrice,series,showOnline,dimensionImage,isSleeper,smallImage,sortOrder,startDate,status,stillDecidingLinks,hasStorage,template,thumbnailImage,unitOfMeasure,unsearchable,hasUsbChargingPort,useCareInstructions,belowFoldHowToMedia,videos,warrantyInfo,wearDatedId,wearability,wholesalePrice
J161716,false,,,,,,false,,,,,,DR,,S,Major Upholstery,16,Canyon,,,,A,fabric,"Refracted is a combination of different shapes and sizes of triangles creating a unique contemporary patchwork design. Refracted is great for all family room settings. Multiple shades of color, allow for easy mix and match in many color schemes.",true,,,,"63% Polyester,37% Rayon",,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Modern,,,false,,,,MU,,,false,,,,,1617,false,,,,,,D,,,,,,true,,,,,,,2,
B142077,false,,,,,,false,,,,,,DR,,W,Major Upholstery,77,Caramel,77,CL,,A,fabric,"Holden is woven with special yarns that gives this semi-plain fabric visual interest plus a soft hand. The subtle mingle of color, coordinates well with many ""Life Style"" room settings and other more decorative fabrics.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1420,false,,,,,,D,,,,,,true,,,,,,,2,
D167555,false,,,,,,false,,,,,,DR,,S,Major Upholstery,55,Castle,,,,A,fabric,Pattern Tetris features simple lines etched on light and neutral grounds. This simple but elegant fabric is woven in a well-balanced flowing pattern crafted in minimalist style. Tetris is an ideal choice for adding smart style and works in any room.,true,,,,"92% Polyester,8% Cotton",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1675,false,,,,,,D,,,,,,true,,,,,,,2,
B157757,false,,,,,,false,,,,,,UR,,WS,Chair,57,Charcoal,,,,A,fabric,"With its soft feel and appealing texture, Denali is a wonderful printed velvet. This pattern creates harmonious and handsome colorways. Denali uses a slight ribbed texture, enhancing its fantastic hand.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,CH,,,false,,,,,1577,false,,,,,,D,,,,,,true,,,,,,,2,
C158587,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,87,Cobalt,,CL,,A,fabric,"Darby features textured, natural looking two-toned yarns and a special weave designed to create the natural appearance of a handwoven grass cloth. This handsome base cloth adds simple sophistication to any room setting from Classic to Modern.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1585,false,,,,,,D,,,,,,true,,,,,,,2,
G167387,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,87,Cobalt,,,,A,fabric,"This transitional design has a casual feel thanks to the novelty slub yarn. The sheen from the yarns in the figure adds sophistication and gives this fabric a wonderful hand. Twinkle Twinkle provides a modern, pop of color for a stunning accent.",true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1673,false,,,,,,D,,,,,,true,,,,,,,3,
D167531,false,,,,,,false,,,,,,DR,,S,Major Upholstery,31,Cream,,,,A,fabric,Pattern Tetris features simple lines etched on light and neutral grounds. This simple but elegant fabric is woven in a well-balanced flowing pattern crafted in minimalist style. Tetris is an ideal choice for adding smart style and works in any room.,true,,,,"92% Polyester,8% Cotton",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1675,false,,,,,,D,,,,,,true,,,,,,,2,
J145445,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,45,Daisy,45,CL,,A,fabric,"A painterly, brushstroke texture creating woven blends of beautiful colors. The colors form a subtle grid motif similar to a plaid. Designed to complement pattern Garden Scape.",true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1454,false,,,,,,D,,,,,,true,,,,,,,2,
J145545,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,45,Daisy,45,CL,,A,fabric,A stylized Pansy floral with detailed weave combinations creating a “silk like” texture and hand. Designed to correlate with pattern Alfresco.,true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1455,false,,,,,,D,,,,,,true,,,,,,,2,
D154184,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,84,Denim,84,CL,,A,fabric,"Shhhhhhhhhh.....Top Secret is a multi-yarn texture that packs in a lot of look. A heathered filament yarn, a polyester slub yarn, and a straight spun yarn are woven together on a dimensional heathered warp for tons of texture.",true,,,,"65.83% Olefin,34.17% Polyester",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1541,false,,,,,,D,,,,,,true,,,,,,,2,
G170727,false,,,,,,false,,,false,,,DR,,WS,Major Upholstery,27,Dragonfly,,,,A,fabric,New Lobos takes on adventurous style through the inspiration of confidently colorful. We like to think that greater vibrance has officially been achieved. 100% Polyester with Standard Durability.,true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1707,false,,,,,,D,,,,,,true,,,,,,,2,
D162664,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,64,Driftwood,,,,A,fabric,"A deep, textured print on a knit base cloth, Timber’s plush and substantial feel makes it a perfect fit for any home environment.",true,,,,100% Polyester,,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1626,false,,,,,,D,,,,,,true,,,,,,,2,
G170763,false,,,,,,false,,,false,,,DR,,WS,Major Upholstery,63,Earth,,,,A,fabric,New Lobos takes on adventurous style through the inspiration of confidently colorful. We like to think that greater vibrance has officially been achieved. 100% Polyester with Standard Durability.,true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1707,false,,,,,,D,,,,,,true,,,,,,,2,
J161755,false,,,,,,false,,,,,,DR,,S,Major Upholstery,55,Ebony,,,,A,fabric,"Refracted is a combination of different shapes and sizes of triangles creating a unique contemporary patchwork design. Refracted is great for all family room settings. Multiple shades of color, allow for easy mix and match in many color schemes.",true,,,,"63% Polyester,37% Rayon",,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Modern,,,false,,,,MU,,,false,,,,,1617,false,,,,,,D,,,,,,true,,,,,,,2,
C160778,false,,,,,,false,,,,,,DR,,S,Major Upholstery,78,Espresso,,,,A,fabric,"Monaghan is a 100% polyester chenille body cloth/texture design featuring a ripple type weave influence. A space dye, multi-color fancy yarn is used between each chenille pick to add a subtle color interest.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1607,false,,,,,,D,,,,,,true,,,,,,,2,
D162679,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,79,Espresso,,,,A,fabric,"A deep, textured print on a knit base cloth, Timber’s plush and substantial feel makes it a perfect fit for any home environment.",true,,,,100% Polyester,,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1626,false,,,,,,D,,,,,,true,,,,,,,2,
